Sexo;Comunidades y Ciudades Autónomas;Sector económico;Periodo;Total
Ambos sexos;Total Nacional;Industria;2018T3;2.725,7
Ambos sexos;Total Nacional;Industria;2018T2;2.722,8
Ambos sexos;Total Nacional;Industria;2018T1;2.676,4
Ambos sexos;Total Nacional;Industria;2017T4;2.711,3
Ambos sexos;Total Nacional;Industria;2017T3;2.670,7
Ambos sexos;Total Nacional;Industria;2017T2;2.636,6
Ambos sexos;Total Nacional;Industria;2017T1;2.570,9
Ambos sexos;Total Nacional;Industria;2016T4;2.579,1
Ambos sexos;Total Nacional;Industria;2016T3;2.531,3
Ambos sexos;Total Nacional;Industria;2016T2;2.497,1
Ambos sexos;Total Nacional;Industria;2016T1;2.481,4
Ambos sexos;Total Nacional;Industria;2015T4;2.463,4
Ambos sexos;Total Nacional;Industria;2015T3;2.518,9
Ambos sexos;Total Nacional;Industria;2015T2;2.505,9
Ambos sexos;Total Nacional;Industria;2015T1;2.441,1
Ambos sexos;Total Nacional;Industria;2014T4;2.438,8
Ambos sexos;Total Nacional;Industria;2014T3;2.427,1
Ambos sexos;Total Nacional;Industria;2014T2;2.355,3
Ambos sexos;Total Nacional;Industria;2014T1;2.298,6
Ambos sexos;Total Nacional;Industria;2013T4;2.340,8
Ambos sexos;Total Nacional;Industria;2013T3;2.345,1
Ambos sexos;Total Nacional;Industria;2013T2;2.357,7
Ambos sexos;Total Nacional;Industria;2013T1;2.378,5
Ambos sexos;Total Nacional;Industria;2012T4;2.438,8
Ambos sexos;Total Nacional;Industria;2012T3;2.496,7
Ambos sexos;Total Nacional;Industria;2012T2;2.489,6
Ambos sexos;Total Nacional;Industria;2012T1;2.509,7
Ambos sexos;Total Nacional;Industria;2011T4;2.584,7
Ambos sexos;Total Nacional;Industria;2011T3;2.632,4
Ambos sexos;Total Nacional;Industria;2011T2;2.622,9
Ambos sexos;Total Nacional;Industria;2011T1;2.578,8
Ambos sexos;Total Nacional;Industria;2010T4;2.661,9
Ambos sexos;Total Nacional;Industria;2010T3;2.645,3
Ambos sexos;Total Nacional;Industria;2010T2;2.656,7
Ambos sexos;Total Nacional;Industria;2010T1;2.637,9
Ambos sexos;Total Nacional;Industria;2009T4;2.718,6
Ambos sexos;Total Nacional;Industria;2009T3;2.752,0
Ambos sexos;Total Nacional;Industria;2009T2;2.829,1
Ambos sexos;Total Nacional;Industria;2009T1;2.930,6
Ambos sexos;Total Nacional;Industria;2008T4;3.078,5
Ambos sexos;Total Nacional;Industria;2008T3;3.231,1
Ambos sexos;Total Nacional;Industria;2008T2;3.284,3
Ambos sexos;Total Nacional;Industria;2008T1;3.352,8
Ambos sexos;Total Nacional;Construcción;2025T3;1.557,1
Ambos sexos;Total Nacional;Construcción;2025T2;1.524,5
Ambos sexos;Total Nacional;Construcción;2025T1;1.479,1
Ambos sexos;Total Nacional;Construcción;2024T4;1.479,8
Ambos sexos;Total Nacional;Construcción;2024T3;1.479,2
Ambos sexos;Total Nacional;Construcción;2024T2;1.478,7
Ambos sexos;Total Nacional;Construcción;2024T1;1.417,6
Ambos sexos;Total Nacional;Construcción;2023T4;1.435,0
Ambos sexos;Total Nacional;Construcción;2023T3;1.417,3
Ambos sexos;Total Nacional;Construcción;2023T2;1.404,1
Ambos sexos;Total Nacional;Construcción;2023T1;1.335,6
Ambos sexos;Total Nacional;Construcción;2022T4;1.335,3
Ambos sexos;Total Nacional;Construcción;2022T3;1.368,7
Ambos sexos;Total Nacional;Construcción;2022T2;1.371,0
Ambos sexos;Total Nacional;Construcción;2022T1;1.344,9
Ambos sexos;Total Nacional;Construcción;2021T4;1.306,4
Ambos sexos;Total Nacional;Construcción;2021T3;1.319,7
Ambos sexos;Total Nacional;Construcción;2021T2;1.348,7
Ambos sexos;Total Nacional;Construcción;2021T1;1.286,0
Ambos sexos;Total Nacional;Construcción;2020T4;1.280,2
Ambos sexos;Total Nacional;Construcción;2020T3;1.249,3
Ambos sexos;Total Nacional;Construcción;2020T2;1.169,0
Ambos sexos;Total Nacional;Construcción;2020T1;1.277,8
Ambos sexos;Total Nacional;Construcción;2019T4;1.283,9
Ambos sexos;Total Nacional;Construcción;2019T3;1.269,9
Ambos sexos;Total Nacional;Construcción;2019T2;1.276,4
Ambos sexos;Total Nacional;Construcción;2019T1;1.281,4
Ambos sexos;Total Nacional;Construcción;2018T4;1.279,9
Ambos sexos;Total Nacional;Construcción;2018T3;1.240,2
Ambos sexos;Total Nacional;Construcción;2018T2;1.215,2
Ambos sexos;Total Nacional;Construcción;2018T1;1.151,9
Ambos sexos;Total Nacional;Construcción;2017T4;1.143,7
Ambos sexos;Total Nacional;Construcción;2017T3;1.154,6
Ambos sexos;Total Nacional;Construcción;2017T2;1.133,6
Ambos sexos;Total Nacional;Construcción;2017T1;1.081,4
Ambos sexos;Total Nacional;Construcción;2016T4;1.079,3
Ambos sexos;Total Nacional;Construcción;2016T3;1.107,2
Ambos sexos;Total Nacional;Construcción;2016T2;1.077,2
Ambos sexos;Total Nacional;Construcción;2016T1;1.031,7
Ambos sexos;Total Nacional;Construcción;2015T4;1.058,5
Ambos sexos;Total Nacional;Construcción;2015T3;1.082,6
Ambos sexos;Total Nacional;Construcción;2015T2;1.092,9
Ambos sexos;Total Nacional;Construcción;2015T1;1.060,6
Ambos sexos;Total Nacional;Construcción;2014T4;1.030,4
Ambos sexos;Total Nacional;Construcción;2014T3;1.022,5
Ambos sexos;Total Nacional;Construcción;2014T2;979,0
Ambos sexos;Total Nacional;Construcción;2014T1;942,1
Ambos sexos;Total Nacional;Construcción;2013T4;990,4
Ambos sexos;Total Nacional;Construcción;2013T3;1.028,1
Ambos sexos;Total Nacional;Construcción;2013T2;1.034,2
Ambos sexos;Total Nacional;Construcción;2013T1;1.065,2
Ambos sexos;Total Nacional;Construcción;2012T4;1.090,1
Ambos sexos;Total Nacional;Construcción;2012T3;1.149,9
Ambos sexos;Total Nacional;Construcción;2012T2;1.204,5
Ambos sexos;Total Nacional;Construcción;2012T1;1.200,8
Ambos sexos;Total Nacional;Construcción;2011T4;1.290,4
Ambos sexos;Total Nacional;Construcción;2011T3;1.384,8
Ambos sexos;Total Nacional;Construcción;2011T2;1.441,0
Ambos sexos;Total Nacional;Construcción;2011T1;1.499,4
Ambos sexos;Total Nacional;Construcción;2010T4;1.572,3
Ambos sexos;Total Nacional;Construcción;2010T3;1.666,8
Ambos sexos;Total Nacional;Construcción;2010T2;1.698,1
Ambos sexos;Total Nacional;Construcción;2010T1;1.668,2
Ambos sexos;Total Nacional;Construcción;2009T4;1.803,1
Ambos sexos;Total Nacional;Construcción;2009T3;1.850,7
Ambos sexos;Total Nacional;Construcción;2009T2;1.927,8
Ambos sexos;Total Nacional;Construcción;2009T1;1.977,6
Ambos sexos;Total Nacional;Construcción;2008T4;2.182,6
Ambos sexos;Total Nacional;Construcción;2008T3;2.418,0
Ambos sexos;Total Nacional;Construcción;2008T2;2.559,4
Ambos sexos;Total Nacional;Construcción;2008T1;2.679,5
Ambos sexos;Total Nacional;Servicios;2025T3;17.013,1
Ambos sexos;Total Nacional;Servicios;2025T2;16.974,0
Ambos sexos;Total Nacional;Servicios;2025T1;16.609,2
Ambos sexos;Total Nacional;Servicios;2024T4;16.721,5
Ambos sexos;Total Nacional;Servicios;2024T3;16.697,5
Ambos sexos;Total Nacional;Servicios;2024T2;16.544,8
Ambos sexos;Total Nacional;Servicios;2024T1;16.240,8
Ambos sexos;Total Nacional;Servicios;2023T4;16.296,9
Ambos sexos;Total Nacional;Servicios;2023T3;16.457,8
Ambos sexos;Total Nacional;Servicios;2023T2;16.336,9
Ambos sexos;Total Nacional;Servicios;2023T1;15.718,0
Ambos sexos;Total Nacional;Servicios;2022T4;15.715,6
Ambos sexos;Total Nacional;Servicios;2022T3;15.807,7
Ambos sexos;Total Nacional;Servicios;2022T2;15.641,3
Ambos sexos;Total Nacional;Servicios;2022T1;15.295,3
Ambos sexos;Total Nacional;Servicios;2021T4;15.333,9
Ambos sexos;Total Nacional;Servicios;2021T3;15.263,5
Ambos sexos;Total Nacional;Servicios;2021T2;14.866,4
Ambos sexos;Total Nacional;Servicios;2021T1;14.494,9
Ambos sexos;Total Nacional;Servicios;2020T4;14.588,3
Ambos sexos;Total Nacional;Servicios;2020T3;14.508,8
Ambos sexos;Total Nacional;Servicios;2020T2;14.032,5
Ambos sexos;Total Nacional;Servicios;2020T1;14.849,4
Ambos sexos;Total Nacional;Servicios;2019T4;15.125,4
Ambos sexos;Total Nacional;Servicios;2019T3;15.042,4
Ambos sexos;Total Nacional;Servicios;2019T2;14.954,7
Ambos sexos;Total Nacional;Servicios;2019T1;14.641,6
Ambos sexos;Total Nacional;Servicios;2018T4;14.750,8
Ambos sexos;Total Nacional;Servicios;2018T3;14.793,8
Ambos sexos;Total Nacional;Servicios;2018T2;14.583,6
Ambos sexos;Total Nacional;Servicios;2018T1;14.212,2
Ambos sexos;Total Nacional;Servicios;2017T4;14.322,7
Ambos sexos;Total Nacional;Servicios;2017T3;14.446,9
Ambos sexos;Total Nacional;Servicios;2017T2;14.210,6
Ambos sexos;Total Nacional;Servicios;2017T1;13.938,2
Ambos sexos;Total Nacional;Servicios;2016T4;14.032,9
Ambos sexos;Total Nacional;Servicios;2016T3;14.145,2
Ambos sexos;Total Nacional;Servicios;2016T2;13.966,5
Ambos sexos;Total Nacional;Servicios;2016T1;13.739,2
Ambos sexos;Total Nacional;Servicios;2015T4;13.792,5
Ambos sexos;Total Nacional;Servicios;2015T3;13.737,6
Ambos sexos;Total Nacional;Servicios;2015T2;13.527,4
Ambos sexos;Total Nacional;Servicios;2015T1;13.235,7
Ambos sexos;Total Nacional;Servicios;2014T4;13.371,0
Ambos sexos;Total Nacional;Servicios;2014T3;13.388,2
Ambos sexos;Total Nacional;Servicios;2014T2;13.279,4
Ambos sexos;Total Nacional;Servicios;2014T1;12.900,8
Ambos sexos;Total Nacional;Servicios;2013T4;13.026,8
Ambos sexos;Total Nacional;Servicios;2013T3;13.157,5
Ambos sexos;Total Nacional;Servicios;2013T2;13.015,6
Ambos sexos;Total Nacional;Servicios;2013T1;12.870,0
Ambos sexos;Total Nacional;Servicios;2012T4;13.036,4
Ambos sexos;Total Nacional;Servicios;2012T3;13.306,9
Ambos sexos;Total Nacional;Servicios;2012T2;13.342,0
Ambos sexos;Total Nacional;Servicios;2012T1;13.291,5
Ambos sexos;Total Nacional;Servicios;2011T4;13.475,6
Ambos sexos;Total Nacional;Servicios;2011T3;13.762,6
Ambos sexos;Total Nacional;Servicios;2011T2;13.822,2
Ambos sexos;Total Nacional;Servicios;2011T1;13.569,9
Ambos sexos;Total Nacional;Servicios;2010T4;13.644,7
Ambos sexos;Total Nacional;Servicios;2010T3;13.759,1
Ambos sexos;Total Nacional;Servicios;2010T2;13.623,5
Ambos sexos;Total Nacional;Servicios;2010T1;13.519,1
Ambos sexos;Total Nacional;Servicios;2009T4;13.590,2
Ambos sexos;Total Nacional;Servicios;2009T3;13.755,1
Ambos sexos;Total Nacional;Servicios;2009T2;13.606,6
Ambos sexos;Total Nacional;Servicios;2009T1;13.533,8
Ambos sexos;Total Nacional;Servicios;2008T4;13.981,0
Ambos sexos;Total Nacional;Servicios;2008T3;14.108,6
Ambos sexos;Total Nacional;Servicios;2008T2;13.972,6
Ambos sexos;Total Nacional;Servicios;2008T1;13.717,6
Ambos sexos;01 Andalucía;Total;2025T3;3.612,2
Ambos sexos;01 Andalucía;Total;2025T2;3.546,7
Ambos sexos;01 Andalucía;Total;2025T1;3.476,1
Ambos sexos;01 Andalucía;Total;2024T4;3.488,5
Ambos sexos;01 Andalucía;Total;2024T3;3.503,4
Ambos sexos;01 Andalucía;Total;2024T2;3.478,9
Ambos sexos;01 Andalucía;Total;2024T1;3.377,7
Ambos sexos;01 Andalucía;Total;2023T4;3.402,3
Ambos sexos;01 Andalucía;Total;2023T3;3.390,5
Ambos sexos;01 Andalucía;Total;2023T2;3.396,2
Ambos sexos;01 Andalucía;Total;2023T1;3.346,4
Ambos sexos;01 Andalucía;Total;2022T4;3.280,3
Ambos sexos;01 Andalucía;Total;2022T3;3.298,6
Ambos sexos;01 Andalucía;Total;2022T2;3.294,5
Ambos sexos;01 Andalucía;Total;2022T1;3.229,6
Ambos sexos;01 Andalucía;Total;2021T4;3.260,8
Ambos sexos;01 Andalucía;Total;2021T3;3.148,7
Ambos sexos;01 Andalucía;Total;2021T2;3.153,4
Ambos sexos;01 Andalucía;Total;2021T1;3.047,1
Ambos sexos;01 Andalucía;Total;2020T4;3.083,0
Ambos sexos;01 Andalucía;Total;2020T3;2.985,3
Ambos sexos;01 Andalucía;Total;2020T2;2.909,0
Ambos sexos;01 Andalucía;Total;2020T1;3.107,2
Ambos sexos;01 Andalucía;Total;2019T4;3.136,0
Ambos sexos;01 Andalucía;Total;2019T3;3.100,9
Ambos sexos;01 Andalucía;Total;2019T2;3.135,9
Ambos sexos;01 Andalucía;Total;2019T1;3.106,2
Ambos sexos;01 Andalucía;Total;2018T4;3.090,3
Ambos sexos;01 Andalucía;Total;2018T3;3.032,7
Ambos sexos;01 Andalucía;Total;2018T2;3.032,4
Ambos sexos;01 Andalucía;Total;2018T1;2.967,7
Ambos sexos;01 Andalucía;Total;2017T4;2.971,6
Ambos sexos;01 Andalucía;Total;2017T3;2.952,3
Ambos sexos;01 Andalucía;Total;2017T2;2.961,9
Ambos sexos;01 Andalucía;Total;2017T1;2.908,4
Ambos sexos;01 Andalucía;Total;2016T4;2.845,3
Ambos sexos;01 Andalucía;Total;2016T3;2.841,2
Ambos sexos;01 Andalucía;Total;2016T2;2.832,7
Ambos sexos;01 Andalucía;Total;2016T1;2.814,3
Ambos sexos;01 Andalucía;Total;2015T4;2.819,4
Ambos sexos;01 Andalucía;Total;2015T3;2.758,1
Ambos sexos;01 Andalucía;Total;2015T2;2.808,5
Ambos sexos;01 Andalucía;Total;2015T1;2.683,7
Ambos sexos;01 Andalucía;Total;2014T4;2.681,8
Ambos sexos;01 Andalucía;Total;2014T3;2.611,0
Ambos sexos;01 Andalucía;Total;2014T2;2.630,7
Ambos sexos;01 Andalucía;Total;2014T1;2.612,7
Ambos sexos;01 Andalucía;Total;2013T4;2.571,0
Ambos sexos;01 Andalucía;Total;2013T3;2.557,7
Ambos sexos;01 Andalucía;Total;2013T2;2.609,8
Ambos sexos;01 Andalucía;Total;2013T1;2.547,5
Ambos sexos;01 Andalucía;Total;2012T4;2.604,4
Ambos sexos;01 Andalucía;Total;2012T3;2.625,4
Ambos sexos;01 Andalucía;Total;2012T2;2.686,8
Ambos sexos;01 Andalucía;Total;2012T1;2.705,3
Ambos sexos;01 Andalucía;Total;2011T4;2.774,9
Ambos sexos;01 Andalucía;Total;2011T3;2.773,7
Ambos sexos;01 Andalucía;Total;2011T2;2.810,7
Ambos sexos;01 Andalucía;Total;2011T1;2.832,5
Ambos sexos;01 Andalucía;Total;2010T4;2.868,2
Ambos sexos;01 Andalucía;Total;2010T3;2.839,3
Ambos sexos;01 Andalucía;Total;2010T2;2.882,7
Ambos sexos;01 Andalucía;Total;2010T1;2.905,6
Ambos sexos;01 Andalucía;Total;2009T4;2.901,9
Ambos sexos;01 Andalucía;Total;2009T3;2.898,4
Ambos sexos;01 Andalucía;Total;2009T2;2.942,9
Ambos sexos;01 Andalucía;Total;2009T1;2.985,5
Ambos sexos;01 Andalucía;Total;2008T4;3.058,2
Ambos sexos;01 Andalucía;Total;2008T3;3.150,9
Ambos sexos;01 Andalucía;Total;2008T2;3.195,8
Ambos sexos;01 Andalucía;Total;2008T1;3.237,8
Ambos sexos;01 Andalucía;Agricultura;2025T3;211,8
Ambos sexos;01 Andalucía;Agricultura;2025T2;245,0
Ambos sexos;01 Andalucía;Agricultura;2025T1;273,3
Ambos sexos;01 Andalucía;Agricultura;2024T4;252,9
Ambos sexos;01 Andalucía;Agricultura;2024T3;211,9
Ambos sexos;01 Andalucía;Agricultura;2024T2;240,9
Ambos sexos;01 Andalucía;Agricultura;2024T1;252,8
Ambos sexos;01 Andalucía;Agricultura;2023T4;263,9
Ambos sexos;01 Andalucía;Agricultura;2023T3;191,1
Ambos sexos;01 Andalucía;Agricultura;2023T2;238,5
Ambos sexos;01 Andalucía;Agricultura;2023T1;265,2
Ambos sexos;01 Andalucía;Agricultura;2022T4;240,4
Ambos sexos;01 Andalucía;Agricultura;2022T3;206,6
Ambos sexos;01 Andalucía;Agricultura;2022T2;241,6
Ambos sexos;01 Andalucía;Agricultura;2022T1;292,6
Ambos sexos;01 Andalucía;Agricultura;2021T4;296,9
Ambos sexos;01 Andalucía;Agricultura;2021T3;220,1
Ambos sexos;01 Andalucía;Agricultura;2021T2;270,7
Ambos sexos;01 Andalucía;Agricultura;2021T1;313,0
Ambos sexos;01 Andalucía;Agricultura;2020T4;290,9
Ambos sexos;01 Andalucía;Agricultura;2020T3;227,1
Ambos sexos;01 Andalucía;Agricultura;2020T2;251,7
Ambos sexos;01 Andalucía;Agricultura;2020T1;289,4
Ambos sexos;01 Andalucía;Agricultura;2019T4;274,1
Ambos sexos;01 Andalucía;Agricultura;2019T3;204,2
Ambos sexos;01 Andalucía;Agricultura;2019T2;252,3
Ambos sexos;01 Andalucía;Agricultura;2019T1;291,0
Ambos sexos;01 Andalucía;Agricultura;2018T4;266,2
Ambos sexos;01 Andalucía;Agricultura;2018T3;201,4
Ambos sexos;01 Andalucía;Agricultura;2018T2;245,0
Ambos sexos;01 Andalucía;Agricultura;2018T1;291,1
Ambos sexos;01 Andalucía;Agricultura;2017T4;274,4
Ambos sexos;01 Andalucía;Agricultura;2017T3;214,1
Ambos sexos;01 Andalucía;Agricultura;2017T2;266,9
